DATA;Longitude;Latitude;TSRED;OPAD;WIATR;SOLAR
2001-03-10;20.9375;52.2983017;8.6935;1.581001812;2.285626137;7.27925607
2001-03-11;20.9375;52.2983017;8.1025;0.997353194;2.649040754;3.870109152
2001-03-12;20.9375;52.2983017;9.632;0.381088267;3.218188756;6.493952088
2001-03-13;20.9375;52.2983017;7.7325;2.384377452;3.415906392;2.5083558
2001-03-14;20.9375;52.2983017;5.9445;0.800800416;2.987450436;6.86587878
2001-03-15;20.9375;52.2983017;4.669;1.714897238;2.993334858;6.39883152
2001-03-16;20.9375;52.2983017;3.4525;0.389671092;2.501861359;5.531287968
2001-03-17;20.9375;52.2983017;3.203;0.068664557;2.287937364;15.00558617
2001-03-18;20.9375;52.2983017;2.9985;0.099563638;2.808232907;10.23086176
2001-03-19;20.9375;52.2983017;3.413;2.818681157;4.176703754;5.697625158
2001-03-20;20.9375;52.2983017;-0.057;5.546383452;5.736399399;3.57845733
2001-03-21;20.9375;52.2983017;0.328;0.657463536;2.981349557;14.25420673
2001-03-22;20.9375;52.2983017;-1.0375;0;2.490899145;17.62317981
2001-03-23;20.9375;52.2983017;0.019;0.017166132;3.039493412;14.82603973
2001-03-24;20.9375;52.2983017;0.913;4.435723634;4.574451068;8.98008786
2001-03-25;20.9375;52.2983017;0.357;2.813530932;5.730289599;5.223375072
2001-03-26;20.9375;52.2983017;0.3925;1.170730217;4.857930314;12.83731828
2001-03-27;20.9375;52.2983017;-2.569;0.096130332;2.946369528;15.91137893
2001-03-28;20.9375;52.2983017;-1.8805;0;3.118299312;19.2606777
2001-03-29;20.9375;52.2983017;-1.3275;0.054931673;5.210142321;19.10592331
2001-03-30;20.9375;52.2983017;3.039;0.345039271;4.807064044;6.848097732
2001-03-31;20.9375;52.2983017;5.012;0.454902869;2.498677464;7.265870064
2001-04-01;20.9375;52.2983017;9.222;0.133895851;1.952604471;15.83870386
2001-04-02;20.9375;52.2983017;10.097;0.109863302;1.552472374;6.144919272
2001-04-03;20.9375;52.2983017;14.845;0.068664557;2.836538474;16.91836603
2001-04-04;20.9375;52.2983017;13.2215;0.089263901;1.956903781;15.25921495
2001-04-05;20.9375;52.2983017;8.4215;0.415421208;3.387660552;9.065639448
2001-04-06;20.9375;52.2983017;8.002;0;1.606472454;20.52269899
2001-04-07;20.9375;52.2983017;9.994;0.230025996;2.521881074;19.12432673
2001-04-08;20.9375;52.2983017;12.46;1.820469658;2.520345468;11.22086034
2001-04-09;20.9375;52.2983017;8.025;13.09089049;3.455219873;3.206923416
2001-04-10;20.9375;52.2983017;5.955;6.0596496;2.402898708;9.5316237
2001-04-11;20.9375;52.2983017;7.42;3.934478434;1.738332196;13.36229611
2001-04-12;20.9375;52.2983017;6.226;0.944137519;3.314692702;15.79561531
2001-04-13;20.9375;52.2983017;2.603;3.14998655;3.759470729;8.232800778
2001-04-14;20.9375;52.2983017;1.908;4.413412224;4.380092135;10.93848975
2001-04-15;20.9375;52.2983017;2.1065;0.345039437;3.74184642;19.15059501
2001-04-16;20.9375;52.2983017;3.329;0.485801431;2.642215614;14.61290904
2001-04-17;20.9375;52.2983017;5.1075;1.534652453;1.801176065;19.48049865
2001-04-18;20.9375;52.2983017;5.5485;0.010299679;2.222451267;17.05651578
2001-04-19;20.9375;52.2983017;7.659;1.766394403;2.524728449;11.82307223
2001-04-20;20.9375;52.2983017;5.638;8.559035899;2.642455692;8.51889303
2001-04-21;20.9375;52.2983017;7.512;20.54615396;2.643092406;2.1782259
2001-04-22;20.9375;52.2983017;9.7125;7.39517292;2.432295364;2.754450432
2001-04-23;20.9375;52.2983017;7.575;2.408407495;2.49460372;6.182272152
2001-04-24;20.9375;52.2983017;6.7165;19.42863703;3.931619334;2.221199568
2001-04-25;20.9375;52.2983017;9.8985;1.016235353;1.483077074;8.6149116
2001-04-26;20.9375;52.2983017;10.595;4.878619394;3.008273289;13.12137979
2001-04-27;20.9375;52.2983017;10.5145;7.137680868;3.372922962;15.60712878
